object_id,canonical_label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
machine_6,Machine,XGBoost baseline,10.0,1606,0.09686764062059151,0.15091767675781395,0.3256879952312009,0.4261243413496895,-0.689483213684082,0.668645020721435,1.4502616288916566,0.9196762141967622
machine_6,Machine,XGBoost tuned,5.0,1605,0.019718742504958888,0.0626599777832019,0.2815339824816552,0.3840231361454886,-0.7171968802978504,0.562734052905273,1.5312071613707163,0.9414330218068536
machine_6,Machine,XGBoost tuned,10.0,1606,0.01703863364168125,0.065618622314453,0.29523520464343,0.4068258248275853,-0.7464642688903806,0.5839459963684099,1.555372405354919,0.9383561643835616
screen_1,Screen,LGBM baseline,5.0,1820,0.13546584513289686,0.2098746561555504,0.4005457121029834,0.5107655683305805,-0.8961219622045357,0.7632420026868229,,
screen_1,Screen,LGBM baseline,10.0,1805,0.2818215732550712,0.2919253404360944,0.5207018360028797,0.6621078053233497,-0.8046371965728681,1.1951650746905607,,
screen_1,Screen,LGBM tuned,5.0,1820,0.10637832693964983,0.1691356811209541,0.3733078630866697,0.49338325734760646,-0.9061347395711903,0.7709003732095491,,
screen_1,Screen,LGBM tuned,10.0,1805,0.12892066123125787,0.2026028030624402,0.43296821151582776,0.5631144635744859,-0.9422809960307333,0.9183333250404232,,
screen_1,Screen,XGBoost baseline,5.0,1820,0.1085621516816192,0.19227309295654388,0.3790300365581807,0.4966404603578136,-0.9135907091979985,0.7444834381164555,1.9922283175824178,0.9252747252747253
screen_1,Screen,XGBoost baseline,10.0,1805,0.13231950346023694,0.2339936219482439,0.44158603140669633,0.5654420269657146,-0.9384779802246099,0.8906595203857421,2.201265891966759,0.8875346260387812
screen_1,Screen,XGBoost tuned,5.0,1820,0.06845384194631056,0.1356518736572276,0.3590828463668656,0.4919070738470403,-0.9854727479553231,0.7404233365417473,1.9798913692307694,0.9434065934065934
screen_1,Screen,XGBoost tuned,10.0,1805,0.11566620584571399,0.196727370605469,0.4246687948349041,0.5530871405770021,-0.9599169370117181,0.9000871326416003,2.433837208864266,0.942382271468144
screen_2,Screen,LGBM baseline,5.0,1856,0.08981561234362026,0.1537749219438584,0.2853569129785101,0.4001366627257558,-0.567240210761927,0.5579081507040637,,
screen_2,Screen,LGBM baseline,10.0,1837,0.027672843404338624,0.0861576845547347,0.28150210823842003,0.42168189228704894,-0.6439489311270484,0.5384073089892711,,
screen_2,Screen,LGBM tuned,5.0,1856,0.04942927650671376,0.10639036366554315,0.2720013563545221,0.39703523806199364,-0.6041113933954136,0.527470637669742,,
screen_2,Screen,LGBM tuned,10.0,1837,0.062204060412098666,0.1277620981003551,0.2908921290402617,0.42435594007675187,-0.6426452041027098,0.5763034402726328,,
screen_2,Screen,XGBoost baseline,5.0,1856,0.0974001132963115,0.16538985107422016,0.295912802864272,0.4085776986547237,-0.5574028521118164,0.5734489703674308,1.1437935603448275,0.8631465517241379
screen_2,Screen,XGBoost baseline,10.0,1837,0.15345409511038294,0.220643928588867,0.341269095594943,0.45400552580037196,-0.5424022830810535,0.6568624367187494,1.221411462166576,0.8519324986390855
screen_2,Screen,XGBoost tuned,5.0,1856,0.033324155184121,0.08839489373779225,0.2644837641366104,0.39424177787408776,-0.6267657287292483,0.5215007478332518,1.342036650323276,0.9197198275862069
screen_2,Screen,XGBoost tuned,10.0,1837,0.03862243751382181,0.1013719711914049,0.282076784077486,0.41937001071367447,-0.6409246561767573,0.5474648697753906,1.4204504681546,0.9107240065323897
window_1,Window,LGBM baseline,5.0,644,0.038011765132312025,0.07518180741724476,0.3099963263103363,0.40319051255827104,-0.6552128406886004,0.5906908556716636,,
window_1,Window,LGBM baseline,10.0,648,-0.04649618099864809,-0.01086017760792395,0.3745529143074857,0.4797848082434559,-0.9090788492731583,0.6808561218074721,,
window_1,Window,LGBM tuned,5.0,644,-0.01399131109075464,0.0253140525333677,0.30520000382176077,0.4040677411711652,-0.7111375458907538,0.5520413623289682,,
window_1,Window,LGBM tuned,10.0,648,-0.04612740535187757,0.01138618288627485,0.36035677452537307,0.4554329050127301,-0.868082424819797,0.5976401751758967,,
window_1,Window,XGBoost baseline,5.0,644,0.040076946715929505,0.0794191768798828,0.32050343189007297,0.418502271569515,-0.6646056071594247,0.6440091489990247,1.371309905279503,0.8835403726708074
window_1,Window,XGBoost baseline,10.0,648,0.03284029061889646,0.0730898015136709,0.38116609390409484,0.4704395531134248,-0.8057036613830574,0.7176257740356439,1.5229155308641977,0.8765432098765432
window_1,Window,XGBoost tuned,5.0,644,-0.02232072284523151,0.01320834564209145,0.29282943349120333,0.3895613909004368,-0.6851426599670394,0.5114016453491206,1.5936047841614907,0.9347826086956522
window_1,Window,XGBoost tuned,10.0,648,-0.06565498085191518,-0.00896954895019415,0.3505570112967785,0.446080310489093,-0.8556079776733393,0.5492848146850585,1.7042054645061728,0.9274691358024691
