split,object_id,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,screen_2,Screen,5.0,1092,0.5758477265323081,0.8419621235436686,-0.1657210598859269,-0.33827982649317356,1.492032482248191,0.8928571428571429
test,screen_2,Screen,10.0,1117,0.6362930466662567,0.9771547012984171,-0.18513873278282778,-0.4040173713015397,1.526211280402482,0.8675022381378693
test,screen_2,Screen,15.0,1129,0.696643172125731,1.0789992268634356,-0.20480787648455268,-0.4621146852896418,1.5406748039756886,0.8175376439326838
test,screen_2,Screen,20.0,1142,0.7417919787110854,1.170240306600018,-0.2173434271808552,-0.5113129176962736,1.5524482053605153,0.8038528896672504
test,screen_2,Screen,30.0,1146,0.803861647408818,1.2349094804153584,-0.2670502239578474,-0.5820899668713135,1.5706632126841649,0.7879581151832461
test,screen_2,Screen,45.0,1136,0.8847384902077536,1.356448050509516,-0.31036335900488976,-0.6737364718690289,1.593357890459099,0.7482394366197183
test,screen_2,Screen,60.0,1111,0.9843627538252442,1.5007767143510182,-0.36757150898752333,-0.7925285059499303,1.6474888759048443,0.7182718271827183
test,screen_2,Screen,90.0,1048,1.139944605832091,1.7241975739946414,-0.45516937808117963,-0.9766775431749096,1.7466570535671964,0.683206106870229
test,screen_2,Screen,120.0,991,1.2146315015208913,1.869123544525932,-0.4745256328801488,-1.0675722329924364,1.8108097182935934,0.6831483350151363
test,window_1,Window,5.0,574,0.541843407158663,0.7244615447809507,-0.13846724503181385,-0.09514467723947749,1.7747342122040164,0.7961672473867596
test,window_1,Window,10.0,591,0.5668023376379293,0.7462293431053814,-0.12116244235132467,-0.09808397654871222,1.7953400066166447,0.7901861252115059
test,window_1,Window,15.0,589,0.6273099190600638,0.8120767608235347,-0.16866003010381458,-0.110197006491711,1.8201289437833472,0.7470288624787776
test,window_1,Window,20.0,587,0.6207617288862397,0.8016001031164305,-0.2767189898180833,-0.12153032304705934,1.8197518131872532,0.7444633730834753
test,window_1,Window,30.0,575,0.6708735079752057,0.8444634269933504,-0.34076315496721743,-0.09000645031634655,1.8435355781487028,0.6730434782608695
test,window_1,Window,45.0,549,0.7692477662413183,0.9565619242103318,-0.3857857921023995,-0.23233318160018157,1.829065719301331,0.6065573770491803
test,window_1,Window,60.0,522,0.8064064290311534,1.0000310701818567,-0.35073537364299945,-0.2027437695183438,1.8892198975711243,0.5593869731800766
test,window_1,Window,90.0,474,0.8734625967638809,1.0534682927249661,-0.39491862919450127,-0.43910369816335104,2.109237826280875,0.5654008438818565
test,window_1,Window,120.0,450,0.8552560669967463,1.0863521469618596,-0.7115847572327259,-0.6152505906610809,2.3742390620421197,0.6244444444444445
train,cableduct_1,Cableduct,5.0,3545,0.6754517611285624,0.8282878980186502,0.04294826659369699,0.058595034819122815,1.7192199542423934,0.9698166431593794
train,cableduct_1,Cableduct,10.0,3491,0.674916139038391,0.8259009430806775,0.0448708921060571,0.04693919815583191,1.717504755515758,0.9682039530220568
train,cableduct_1,Cableduct,15.0,3453,0.6809576075422908,0.8353637542185991,0.04658571729346117,0.027813048530421262,1.7154018672448381,0.966406023747466
train,cableduct_1,Cableduct,20.0,3421,0.684393217802943,0.841653299225958,0.04658142440017299,0.007041303089762628,1.7195627621405,0.9678456591639871
train,cableduct_1,Cableduct,30.0,3367,0.6837040648389934,0.8374638496773623,0.04539866827155614,-0.013920981056176944,1.7288440043136581,0.9646569646569647
train,cableduct_1,Cableduct,45.0,3223,0.6965894026599524,0.8522039185453619,0.04287887595043416,-0.028607642783258856,1.7315722794416208,0.962457337883959
train,cableduct_1,Cableduct,60.0,3061,0.6900947417057784,0.8443088680140671,0.042124599703574295,-0.02486432716149706,1.729200118442262,0.9637373407383208
train,cableduct_1,Cableduct,90.0,2790,0.695699240016595,0.8610080856985046,0.03904539304223975,-0.06093850587305267,1.7500651899944466,0.9623655913978495
train,cableduct_1,Cableduct,120.0,2519,0.6463240783670348,0.812054305329423,0.04066268951167029,-0.04228201336498174,1.7184693053086926,0.9587137753076618
train,cableduct_2,Cableduct,5.0,4467,0.4314416490901133,0.5672028477465556,0.5101601744562838,0.010541682957872387,1.8306758390950835,0.9655249608238191
train,cableduct_2,Cableduct,10.0,4448,0.43235482523841634,0.566723167894668,0.5101136715105425,0.006020942680242426,1.8330677915284497,0.9599820143884892
train,cableduct_2,Cableduct,15.0,4405,0.43240146592003853,0.5673116106906313,0.5085236758222427,-0.0028720048403405338,1.8364298729292756,0.9639046538024971
train,cableduct_2,Cableduct,20.0,4346,0.43763065081764096,0.571102359742745,0.49855933281605624,-0.014968816874146518,1.84897605529403,0.9578923147722044
train,cableduct_2,Cableduct,30.0,4227,0.4400790402546526,0.5708004580662639,0.4650861330992382,-0.007576868987909188,1.8713621306958255,0.9543411402886208
train,cableduct_2,Cableduct,45.0,4038,0.4544476788926193,0.5829181090238631,0.40968222978829294,-0.003704186570435081,1.9006142096025815,0.9598811292719168
train,cableduct_2,Cableduct,60.0,3849,0.4633216719767941,0.6014437458681972,0.34424169601730636,-0.010591482038982542,1.9279573767075642,0.9563522992985191
train,cableduct_2,Cableduct,90.0,3517,0.4656280672884258,0.6035329503747642,0.3005474953471037,0.0046445065503376935,1.9949096988909152,0.9545066818311061
train,cableduct_2,Cableduct,120.0,3185,0.4587269800780702,0.5865885885026543,0.27035048648434545,0.0236268197987403,2.0054355088683864,0.9569858712715855
train,cableduct_3,Cableduct,5.0,4246,0.6416515564216148,0.7853481552041008,0.03729247255637802,0.043420173525453916,1.7165863554628078,0.9651436646255299
train,cableduct_3,Cableduct,10.0,4228,0.6429301243009173,0.7877783096065128,0.03848501768228674,0.027450829058052476,1.7211442094490426,0.9659413434247871
train,cableduct_3,Cableduct,15.0,4180,0.6426222367516291,0.784596922095387,0.03874498350654609,0.017321380590955816,1.7265878185603343,0.9667464114832536
train,cableduct_3,Cableduct,20.0,4116,0.6513549922318688,0.7994790862118415,0.0375470847806566,-0.0030494295084480677,1.7395827381711473,0.9625850340136054
train,cableduct_3,Cableduct,30.0,4026,0.6442464650644455,0.7955919597584962,0.035621190710653616,-0.012381090910939096,1.7897183923095603,0.9575260804769001
train,cableduct_3,Cableduct,45.0,3870,0.6381464208025237,0.7703611146334569,0.034449404611147205,-0.008988498294500456,1.7939129043942095,0.958139534883721
train,cableduct_3,Cableduct,60.0,3698,0.6259207208572058,0.7521339282225445,0.0309602206594789,-0.009124569252577968,1.81282666347937,0.9605191995673337
train,cableduct_3,Cableduct,90.0,3354,0.6366618252801421,0.781434210364651,0.02672734571321489,-0.03345034720747136,1.8998755715080797,0.9505068574836016
train,cableduct_3,Cableduct,120.0,3022,0.626608980769145,0.769602181507736,0.023795451643308096,-0.04292178053205357,1.941588758609412,0.9563203176704169
train,cableduct_4,Cableduct,5.0,4679,0.41609172214289586,0.5516755092955361,0.5137013535460574,0.03146026037254618,1.720593429037298,0.961957683265655
train,cableduct_4,Cableduct,10.0,4662,0.4261658585741245,0.5591351897715519,0.5046630843954245,0.015353602031566743,1.7230961356035663,0.9637494637494638
train,cableduct_4,Cableduct,15.0,4609,0.42611853589442983,0.5632208318495735,0.4935368526871726,0.007282344075625732,1.7303917023188415,0.9581254068127576
train,cableduct_4,Cableduct,20.0,4552,0.4339504271033254,0.5722872517271861,0.47378378810228117,0.0004613695751806944,1.7584588660811487,0.960456942003515
train,cableduct_4,Cableduct,30.0,4439,0.4491954708464526,0.5870551367225744,0.44527165089487397,-0.006739174130913851,1.8091795207702597,0.958098670871818
train,cableduct_4,Cableduct,45.0,4266,0.46646609175205855,0.5977683783463663,0.4016324132779586,-0.0018331290889358964,1.8351436293589927,0.9589779653070792
train,cableduct_4,Cableduct,60.0,4094,0.472334649525205,0.6059568870263489,0.3816080033879393,-0.006064971840212601,1.9056047652351011,0.9548119198827553
train,cableduct_4,Cableduct,90.0,3753,0.49299925433467534,0.6334820810548766,0.34230569589238913,-0.025347439450055603,2.0264270789915875,0.9533706368238742
train,cableduct_4,Cableduct,120.0,3411,0.49809162159831855,0.6370105960466391,0.3138730551528799,-0.028364559641169993,2.0672678937158233,0.9601289944297859
train,machine_2,Machine,5.0,3137,0.35254373985820253,0.48139191377059803,0.7913600018185238,0.01949396881052529,1.245586694274226,0.9601530124322601
train,machine_2,Machine,10.0,3120,0.3416435327254186,0.46913472697328346,0.7953144189931342,0.021844748734663806,1.2570553212223008,0.9544871794871795
train,machine_2,Machine,15.0,3093,0.3435479254089894,0.47158170457137094,0.7922704187837157,0.009072680753783757,1.2833269169603607,0.9602327837051406
train,machine_2,Machine,20.0,3043,0.34821280042370184,0.4831658332496812,0.7843912385678773,-0.00012789493530919978,1.300517543253387,0.9645087085113375
train,machine_2,Machine,30.0,2935,0.3592752915890649,0.4934868642178004,0.7718627246734567,-0.015370398742601758,1.3368997092587083,0.9563884156729131
train,machine_2,Machine,45.0,2818,0.3765651925222604,0.5104029918638701,0.756473522369197,-0.01079566210579343,1.4096120699451726,0.9549325762952449
train,machine_2,Machine,60.0,2690,0.3760960995031843,0.5074856245446687,0.7464073539357416,-0.007973557063935259,1.4808847107160223,0.9539033457249071
train,machine_2,Machine,90.0,2406,0.3963260406698758,0.5443735675935278,0.70642586665437,-0.009374721569258289,1.6192325206393587,0.9526184538653366
train,machine_2,Machine,120.0,2203,0.42669485458207057,0.5859238207669804,0.67303325038977,-0.016995958555765116,1.7223331663607189,0.9596005447117567
train,machine_4,Machine,5.0,1576,1.1069923200539866,1.3637063743100415,0.1045559847471017,-0.049734873288923495,1.6071154330900916,0.9695431472081218
train,machine_4,Machine,10.0,1571,1.0976224897050535,1.3527889462142393,0.10652138620444018,-0.0075048852147697525,1.6057624296646744,0.9675366008911521
train,machine_4,Machine,15.0,1538,1.0891118355529885,1.3404759214257234,0.10695834878700439,0.006229662403725005,1.60394985752847,0.9648894668400521
train,machine_4,Machine,20.0,1504,1.1006259346166485,1.3501153117406843,0.10721926082333377,-0.0020298188033600335,1.6289651003730077,0.9714095744680851
train,machine_4,Machine,30.0,1458,1.0957908025406575,1.354086253965676,0.10721676032351235,-0.018268563987592915,1.6840153262724085,0.9609053497942387
train,machine_4,Machine,45.0,1418,1.0781510770832177,1.3522298676302564,0.10623700575084605,-0.03548320250240157,1.7517792371860696,0.9598025387870239
train,machine_4,Machine,60.0,1421,1.0500262199742427,1.3353827127353661,0.10831776813449034,-0.01863599000884981,1.792538100286874,0.952146375791696
train,machine_4,Machine,90.0,1433,0.9627770837051299,1.250894028848952,0.10483894279324002,0.026541550733558218,1.8074124360138453,0.9665038381018841
train,machine_4,Machine,120.0,1421,0.8294479213030044,1.1056802467739495,0.0962912513513775,0.1048856000877699,1.800626184118513,0.9627023223082336
train,machine_6,Machine,5.0,5706,0.6685611280237808,0.8413605814752264,0.3062326381017725,-0.00600566126632189,1.563526922861997,0.963547143357869
train,machine_6,Machine,10.0,5649,0.6660477689409332,0.8340684338252801,0.3069608853711949,-0.0030331803284515024,1.577080187000056,0.959284829173305
train,machine_6,Machine,15.0,5583,0.6613830326376112,0.8273104682546699,0.3048286377259999,0.00400061866455475,1.5993876439653207,0.9602364320257926
train,machine_6,Machine,20.0,5531,0.6637188068177177,0.8295827113235663,0.30152008541988273,-0.00447059047151764,1.6337285828042896,0.9600433917917194
train,machine_6,Machine,30.0,5424,0.6665274011696369,0.8327126067540332,0.2970806463698681,-0.0052332751769848945,1.7190751170359837,0.9605457227138643
train,machine_6,Machine,45.0,5257,0.6772676177336571,0.841090143227395,0.28349050330790015,-0.004154622152346894,1.7865177964691992,0.9549172531862279
train,machine_6,Machine,60.0,5077,0.6891455129426581,0.8562818107121609,0.25281305514287156,-0.007733608416998499,1.8368662380869902,0.9574551900728777
train,machine_6,Machine,90.0,4722,0.6930239557938538,0.8623778588565367,0.23696756563704602,-0.0035991322165871134,1.9323232352288608,0.9542566709021602
train,machine_6,Machine,120.0,4369,0.649987317224465,0.8016427693799677,0.21477657096274771,0.03668552154250302,1.9155166153262562,0.9601739528496224
train,screen_1,Screen,5.0,5962,0.4186681194210805,0.5813747804301853,0.8063751883651139,-0.017240960394221398,2.2398104790777627,0.9627641730962764
train,screen_1,Screen,10.0,5893,0.4295616985738464,0.5937812647846306,0.7921167656480622,-0.003392801140017291,2.2986157933294455,0.9648735788223316
train,screen_1,Screen,15.0,5826,0.44105089235280304,0.6060701787681678,0.7761021593974369,0.002768405760646959,2.358670713209875,0.9622382423618263
train,screen_1,Screen,20.0,5772,0.4671659311640271,0.634260180799296,0.7532308909920042,0.0018485436800365917,2.409470792439035,0.9596327096327096
train,screen_1,Screen,30.0,5662,0.5150455256663649,0.686216013694908,0.7120393899412305,0.0030117048093277585,2.505910309734646,0.9567290709996468
train,screen_1,Screen,45.0,5493,0.550463965732141,0.724868289156661,0.6762931171991448,-0.004103039463590909,2.5893769956576493,0.95867467686146
train,screen_1,Screen,60.0,5312,0.5636144510265962,0.7431923931828182,0.6395961991731622,-0.005018957129262167,2.721238209261134,0.9572665662650602
train,screen_1,Screen,90.0,4953,0.5663056663850421,0.7613574525666406,0.6082946719989502,-0.005980018472770795,2.84232072669499,0.9537653947102765
train,screen_1,Screen,120.0,4594,0.6145416951778416,0.7957536244810042,0.5651231242241832,0.0343385651153542,2.9489233123943746,0.956029603831084
train,screen_2,Screen,5.0,5468,0.5738853561068222,0.7472900636342205,0.03588658250857435,0.011712619098803117,1.3304062014813565,0.9659839063643014
train,screen_2,Screen,10.0,5426,0.5721160255989279,0.749506881773707,0.03477759146753523,0.010611886309336977,1.3592481340023224,0.9622189458164394
train,screen_2,Screen,15.0,5364,0.570933911178737,0.7470748304736664,0.03440094716823028,0.00918773897135479,1.3796211997334287,0.9604772557792692
train,screen_2,Screen,20.0,5310,0.5717244783516793,0.7458188169318904,0.03417978976154967,0.005230921738245176,1.4220591240875964,0.96045197740113
train,screen_2,Screen,30.0,5201,0.5709006256387139,0.7475452430649442,0.03378811443962737,0.0022689683408799984,1.4784634182069523,0.959815420111517
