object_id,label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
machine_6,Machine,LGBM baseline,10.0,1888,0.07591805079533592,0.11583866260161454,0.3782851655696816,0.5019126074343567,-0.7660713410470376,0.7632158306852972,,
machine_6,Machine,LGBM baseline,20.0,1848,0.1480417288967948,0.18485407110083507,0.4229081407969904,0.5538731820196453,-0.7741943713491497,0.9247161838319806,,
machine_6,Machine,LGBM tuned,10.0,1888,0.04569155542991698,0.081960059438769,0.37239574062474046,0.4994841445442259,-0.7850823130703297,0.7520215877494109,,
machine_6,Machine,LGBM tuned,20.0,1848,0.11690821419156246,0.1651986240946392,0.41811776768577197,0.5461751977184139,-0.8103985000068648,0.8819479097045073,,
machine_6,Machine,XGBoost baseline,10.0,1888,0.08591386222259778,0.12644958496093925,0.3776405383063442,0.5011450305347234,-0.7542840957641578,0.7693602561950683,2.2488791440677964,0.9528601694915254
machine_6,Machine,XGBoost baseline,20.0,1848,0.15277092488915645,0.18903732299804685,0.422011766603959,0.5523270271952181,-0.7593647003173828,0.9530386924743651,2.476669682900433,0.9594155844155844
machine_6,Machine,XGBoost tuned,10.0,1888,0.03998566786137983,0.08027648925781064,0.3726204846020042,0.4996950727400168,-0.7730762481689453,0.765646457672118,2.27887017690678,0.9602754237288136
machine_6,Machine,XGBoost tuned,20.0,1848,0.14537503710143249,0.19259166717529294,0.4215671303981025,0.54704648801331,-0.7661543857397455,0.9186198253950194,2.5918350876623375,0.9718614718614719
screen_1,Screen,LGBM baseline,10.0,56,-0.22554804085692734,-0.3818457493989076,0.5408065269766464,0.7283438808749922,-0.9729120108061774,1.0403063781006425,,
screen_1,Screen,LGBM baseline,20.0,32,-1.216927512081995,-1.2396267462595603,1.3786275092395295,1.4706646460259265,-1.9599754197795058,-0.5509919527244199,,
screen_1,Screen,LGBM tuned,10.0,56,-0.06303046235672534,-0.19540335577380036,0.48321835827951976,0.7110139168648623,-0.932420013695217,1.4660222899952657,,
screen_1,Screen,LGBM tuned,20.0,32,-0.8969782943551167,-0.9178920304630509,1.0720068681898876,1.1962924281581642,-1.5895154884873746,-0.26195763556129376,,
screen_1,Screen,XGBoost baseline,10.0,56,-0.234473773283517,-0.3897953033447265,0.5473292214925715,0.733631904660277,-0.9903635967407204,1.0989742279052759,2.4165965714285713,0.8571428571428571
screen_1,Screen,XGBoost baseline,20.0,32,-1.2070098519325256,-1.120737075805664,1.3701139092445374,1.4558937127477765,-1.961919403076172,-0.6053271293640153,2.6091642812500004,0.59375
screen_1,Screen,XGBoost tuned,10.0,56,-0.11312883228053502,-0.2570066452026367,0.5062959194579207,0.7096031948557701,-0.8895559314965817,1.3438758850097683,2.6979147678571427,0.8928571428571429
screen_1,Screen,XGBoost tuned,20.0,32,-1.1248058676719666,-1.1154413223266602,1.2936545014381409,1.3820660596008147,-1.8207942008972169,-0.5587753295898458,3.26515496875,0.625
screen_2,Screen,LGBM baseline,10.0,1886,-0.02567825822295263,0.1212798912436845,0.6010367735743446,0.8087349761492487,-1.5935574974635172,1.0884118137151317,,
screen_2,Screen,LGBM baseline,20.0,1846,-0.03127323390276766,0.11842504968621445,0.7689555158505929,1.0203070952663702,-2.061738342089127,1.3889111380053103,,
screen_2,Screen,LGBM tuned,10.0,1886,0.008382955455216034,0.13720739965788903,0.5979287244540178,0.8056326046873649,-1.5787466278979165,1.105508430181608,,
screen_2,Screen,LGBM tuned,20.0,1846,-0.05120746768914936,0.1048570437307319,0.7519075801623819,1.0032586584646808,-2.0484569619898396,1.3400858072948658,,
screen_2,Screen,XGBoost baseline,10.0,1886,-0.011574179838944884,0.12786483764648435,0.5982504548264557,0.8068027701108373,-1.6180706024169922,1.0960464477539062,2.6117231723223755,0.8769883351007424
screen_2,Screen,XGBoost baseline,20.0,1846,-0.03589037979894239,0.1071071624755859,0.7638637391837927,1.0101117449657042,-2.035386085510254,1.3434314727783176,3.1588403407367283,0.8407367280606717
screen_2,Screen,XGBoost tuned,10.0,1886,0.011035105088892539,0.13605022430419922,0.5980325973808837,0.8070566811690455,-1.5923800468444835,1.0866942402575681,2.7057865455991514,0.8870625662778366
screen_2,Screen,XGBoost tuned,20.0,1846,-0.05084419766038161,0.1252365112304669,0.7506568232795414,1.00260474653322,-2.0555820465087917,1.3184666633605966,3.6482912378114842,0.905742145178765
window_1,Window,LGBM baseline,10.0,1887,-0.15773813639183562,-0.1026569801328847,0.5194701459536358,0.6917047573165582,-1.3031554669965433,0.8307314192867649,,
window_1,Window,LGBM baseline,20.0,1847,-0.3376921936492172,-0.2470287763941279,0.6965621854867017,0.9225877272426193,-1.863405787684913,0.8662755504312983,,
window_1,Window,LGBM tuned,10.0,1887,-0.10919127396265804,-0.0412035118713198,0.5240680061230301,0.6896718395110014,-1.2576883213921857,0.8994414843002301,,
window_1,Window,LGBM tuned,20.0,1847,-0.26421044744371625,-0.1572413873643725,0.6697499129167157,0.8756338100595451,-1.6944108788052066,0.9241576483263803,,
window_1,Window,XGBoost baseline,10.0,1887,-0.179842975697911,-0.1438674926757812,0.5256816387212129,0.6869909704387626,-1.2928188323974608,0.825206182538084,2.0750882633810277,0.8203497615262321
window_1,Window,XGBoost baseline,20.0,1847,-0.35441570973509623,-0.2639789581298792,0.6961268831456787,0.9218229952236957,-1.8866081237792969,0.8532028198242184,2.6516709756361663,0.8321602598808879
window_1,Window,XGBoost tuned,10.0,1887,-0.08834046109475659,-0.0242328643798828,0.506774052302796,0.6691840202299224,-1.2216524124145507,0.9035558700561523,2.206498174350821,0.8717541070482246
window_1,Window,XGBoost tuned,20.0,1847,-0.29667046344684006,-0.2116489372900396,0.6699312671847427,0.8797610502473757,-1.740580940246582,0.8746025085449216,3.3641684477531135,0.9036275040606389
